file,dir,iri,method
patterns-repository/Computer_System/ComputerSystem_ODP.owl,patterns-repository/Computer_System,http://mklab.iti.gr/pericles/ComputerSystem_ODP,xmlns (default namespace)
patterns-repository/Constituency/constituency.owl,patterns-repository/Constituency,http://www.ontologydesignpatterns.org/cp/owl/constituency.owl,owl:Ontology IRI/rdf:about
patterns-repository/Constituency/constituency.owl,patterns-repository/Constituency,http://www.ontologydesignpatterns.org/cp/owl/constituency.owl,xml:base
patterns-repository/Constituency/constituency.owl,patterns-repository/Constituency,http://www.ontologydesignpatterns.org/cp/owl/constituency.owl,xmlns (default namespace)
patterns-repository/ContentOPs/DUL.owl,patterns-repository/ContentOPs,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/DUL.owl,patterns-repository/ContentOPs,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xml:base
patterns-repository/ContentOPs/DUL.owl,patterns-repository/ContentOPs,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xmlns (default namespace)
patterns-repository/ContentOPs/SAN.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xml:base
patterns-repository/ContentOPs/SAN.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ContentOPs/SGA_Protege_OWL.owl,patterns-repository/ContentOPs,http://www.semanticweb.org/holly2012/ontologies/2016/SGA_Pattern,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/SGA_Protege_OWL.owl,patterns-repository/ContentOPs,http://www.semanticweb.org/holly2012/ontologies/2016/SGA_Pattern,xml:base
patterns-repository/ContentOPs/SGA_Protege_OWL.owl,patterns-repository/ContentOPs,http://www.semanticweb.org/holly2012/ontologies/2016/SGA_Pattern,xmlns (default namespace)
patterns-repository/ContentOPs/event.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xml:base
patterns-repository/ContentOPs/event.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ContentOPs/geometry.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/geometry.owl,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/geometry.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/geometry.owl,xml:base
patterns-repository/ContentOPs/geometry.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/geometry.owl,xmlns (default namespace)
patterns-repository/ContentOPs/network.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xml:base
patterns-repository/ContentOPs/network.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ContentOPs/object.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xml:base
patterns-repository/ContentOPs/object.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ContentOPs/place.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xml:base
patterns-repository/ContentOPs/place.owl,patterns-repository/ContentOPs,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ContentOPs/sensing.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/sensing,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/sensing.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/sensing.owl,xml:base
patterns-repository/ContentOPs/sensing.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/sensing.owl,xmlns (default namespace)
patterns-repository/ContentOPs/situation.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/situation.owl,owl:Ontology IRI/rdf:about
patterns-repository/ContentOPs/situation.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/situation.owl,xml:base
patterns-repository/ContentOPs/situation.owl,patterns-repository/ContentOPs,https://w3id.org/smartenvironment/patterns/situation.owl,xmlns (default namespace)
